Pharmacologic CV: Random Forest-Extremely Randomized Trees, Avg Diff: -0.04938271604938271, p-value: nan
Pharmacologic CV: Random Forest-Logistic Regression, Avg Diff: 0.043209876543209735, p-value: nan
Pharmacologic CV: Random Forest-XGBoost, Avg Diff: 0.095679012345679, p-value: nan
Pharmacologic CV: Random Forest-CHA2DS2-VASc, Avg Diff: 0.010802469135802406, p-value: nan
Pharmacologic CV: Random Forest-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.32716049382716045, p-value: nan
Pharmacologic CV: Random Forest-HATCH, Avg Diff: 0.21450617283950613, p-value: nan
Pharmacologic CV: Random Forest-HATCH refitted odd ratios, Avg Diff: 0.2608024691358025, p-value: nan
Pharmacologic CV: Extremely Randomized Trees-Random Forest, Avg Diff: 0.04938271604938271, p-value: nan
Pharmacologic CV: Extremely Randomized Trees-Logistic Regression, Avg Diff: 0.09259259259259245, p-value: nan
Pharmacologic CV: Extremely Randomized Trees-XGBoost, Avg Diff: 0.1450617283950617, p-value: nan
Pharmacologic CV: Extremely Randomized Trees-CHA2DS2-VASc, Avg Diff: 0.06018518518518512, p-value: nan
Pharmacologic CV: Extremely Randomized Trees-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.37654320987654316, p-value: nan
Pharmacologic CV: Extremely Randomized Trees-HATCH, Avg Diff: 0.26388888888888884, p-value: nan
Pharmacologic CV: Extremely Randomized Trees-HATCH refitted odd ratios, Avg Diff: 0.31018518518518523, p-value: nan
Pharmacologic CV: Logistic Regression-Random Forest, Avg Diff: -0.043209876543209735, p-value: nan
Pharmacologic CV: Logistic Regression-Extremely Randomized Trees, Avg Diff: -0.09259259259259245, p-value: nan
Pharmacologic CV: Logistic Regression-XGBoost, Avg Diff: 0.05246913580246926, p-value: nan
Pharmacologic CV: Logistic Regression-CHA2DS2-VASc, Avg Diff: -0.03240740740740733, p-value: nan
Pharmacologic CV: Logistic Regression-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.2839506172839507, p-value: nan
Pharmacologic CV: Logistic Regression-HATCH, Avg Diff: 0.1712962962962964, p-value: nan
Pharmacologic CV: Logistic Regression-HATCH refitted odd ratios, Avg Diff: 0.21759259259259278, p-value: nan
Pharmacologic CV: XGBoost-Random Forest, Avg Diff: -0.095679012345679, p-value: nan
Pharmacologic CV: XGBoost-Extremely Randomized Trees, Avg Diff: -0.1450617283950617, p-value: nan
Pharmacologic CV: XGBoost-Logistic Regression, Avg Diff: -0.05246913580246926, p-value: nan
Pharmacologic CV: XGBoost-CHA2DS2-VASc, Avg Diff: -0.08487654320987659, p-value: nan
Pharmacologic CV: XGBoost-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.23148148148148145, p-value: nan
Pharmacologic CV: XGBoost-HATCH, Avg Diff: 0.11882716049382713, p-value: nan
Pharmacologic CV: XGBoost-HATCH refitted odd ratios, Avg Diff: 0.16512345679012352, p-value: nan
Pharmacologic CV: CHA2DS2-VASc-Random Forest, Avg Diff: -0.010802469135802406, p-value: nan
Pharmacologic CV: CHA2DS2-VASc-Extremely Randomized Trees, Avg Diff: -0.06018518518518512, p-value: nan
Pharmacologic CV: CHA2DS2-VASc-Logistic Regression, Avg Diff: 0.03240740740740733, p-value: nan
Pharmacologic CV: CHA2DS2-VASc-XGBoost, Avg Diff: 0.08487654320987659, p-value: nan
Pharmacologic CV: CHA2DS2-VASc-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.31635802469135804, p-value: nan
Pharmacologic CV: CHA2DS2-VASc-HATCH, Avg Diff: 0.20370370370370372, p-value: nan
Pharmacologic CV: CHA2DS2-VASc-HATCH refitted odd ratios, Avg Diff: 0.2500000000000001, p-value: nan
Pharmacologic CV: CHA2DS2-VASc refitted odd ratios-Random Forest, Avg Diff: -0.32716049382716045, p-value: nan
Pharmacologic CV: CHA2DS2-VASc refitted odd ratios-Extremely Randomized Trees, Avg Diff: -0.37654320987654316, p-value: nan
Pharmacologic CV: CHA2DS2-VASc refitted odd ratios-Logistic Regression, Avg Diff: -0.2839506172839507, p-value: nan
Pharmacologic CV: CHA2DS2-VASc refitted odd ratios-XGBoost, Avg Diff: -0.23148148148148145, p-value: nan
Pharmacologic CV: CHA2DS2-VASc refitted odd ratios-CHA2DS2-VASc, Avg Diff: -0.31635802469135804, p-value: nan
Pharmacologic CV: CHA2DS2-VASc refitted odd ratios-HATCH, Avg Diff: -0.11265432098765432, p-value: nan
Pharmacologic CV: CHA2DS2-VASc refitted odd ratios-HATCH refitted odd ratios, Avg Diff: -0.06635802469135793, p-value: nan
Pharmacologic CV: HATCH-Random Forest, Avg Diff: -0.21450617283950613, p-value: nan
Pharmacologic CV: HATCH-Extremely Randomized Trees, Avg Diff: -0.26388888888888884, p-value: nan
Pharmacologic CV: HATCH-Logistic Regression, Avg Diff: -0.1712962962962964, p-value: nan
Pharmacologic CV: HATCH-XGBoost, Avg Diff: -0.11882716049382713, p-value: nan
Pharmacologic CV: HATCH-CHA2DS2-VASc, Avg Diff: -0.20370370370370372, p-value: nan
Pharmacologic CV: HATCH-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.11265432098765432, p-value: nan
Pharmacologic CV: HATCH-HATCH refitted odd ratios, Avg Diff: 0.04629629629629639, p-value: nan
Pharmacologic CV: HATCH refitted odd ratios-Random Forest, Avg Diff: -0.2608024691358025, p-value: nan
Pharmacologic CV: HATCH refitted odd ratios-Extremely Randomized Trees, Avg Diff: -0.31018518518518523, p-value: nan
Pharmacologic CV: HATCH refitted odd ratios-Logistic Regression, Avg Diff: -0.21759259259259278, p-value: nan
Pharmacologic CV: HATCH refitted odd ratios-XGBoost, Avg Diff: -0.16512345679012352, p-value: nan
Pharmacologic CV: HATCH refitted odd ratios-CHA2DS2-VASc, Avg Diff: -0.2500000000000001, p-value: nan
Pharmacologic CV: HATCH refitted odd ratios-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.06635802469135793, p-value: nan
Pharmacologic CV: HATCH refitted odd ratios-HATCH, Avg Diff: -0.04629629629629639, p-value: nan
