Successful CV: Random Forest-Extremely Randomized Trees, Avg Diff: -0.0050441361916772065, p-value: nan
Successful CV: Random Forest-Logistic Regression, Avg Diff: -0.061475409836065587, p-value: nan
Successful CV: Random Forest-XGBoost, Avg Diff: 0.016235813366960894, p-value: nan
Successful CV: Random Forest-CHA2DS2-VASc, Avg Diff: 0.03420554854981084, p-value: nan
Successful CV: Random Forest-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.08937578814627989, p-value: nan
Successful CV: Random Forest-HATCH, Avg Diff: 0.1087641866330391, p-value: nan
Successful CV: Random Forest-HATCH refitted odd ratios, Avg Diff: 0.044451450189155084, p-value: nan
Successful CV: Extremely Randomized Trees-Random Forest, Avg Diff: 0.0050441361916772065, p-value: nan
Successful CV: Extremely Randomized Trees-Logistic Regression, Avg Diff: -0.05643127364438838, p-value: nan
Successful CV: Extremely Randomized Trees-XGBoost, Avg Diff: 0.0212799495586381, p-value: nan
Successful CV: Extremely Randomized Trees-CHA2DS2-VASc, Avg Diff: 0.039249684741488045, p-value: nan
Successful CV: Extremely Randomized Trees-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.0944199243379571, p-value: nan
Successful CV: Extremely Randomized Trees-HATCH, Avg Diff: 0.11380832282471631, p-value: nan
Successful CV: Extremely Randomized Trees-HATCH refitted odd ratios, Avg Diff: 0.04949558638083229, p-value: nan
Successful CV: Logistic Regression-Random Forest, Avg Diff: 0.061475409836065587, p-value: nan
Successful CV: Logistic Regression-Extremely Randomized Trees, Avg Diff: 0.05643127364438838, p-value: nan
Successful CV: Logistic Regression-XGBoost, Avg Diff: 0.07771122320302648, p-value: nan
Successful CV: Logistic Regression-CHA2DS2-VASc, Avg Diff: 0.09568095838587642, p-value: nan
Successful CV: Logistic Regression-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.15085119798234548, p-value: nan
Successful CV: Logistic Regression-HATCH, Avg Diff: 0.1702395964691047, p-value: nan
Successful CV: Logistic Regression-HATCH refitted odd ratios, Avg Diff: 0.10592686002522067, p-value: nan
Successful CV: XGBoost-Random Forest, Avg Diff: -0.016235813366960894, p-value: nan
Successful CV: XGBoost-Extremely Randomized Trees, Avg Diff: -0.0212799495586381, p-value: nan
Successful CV: XGBoost-Logistic Regression, Avg Diff: -0.07771122320302648, p-value: nan
Successful CV: XGBoost-CHA2DS2-VASc, Avg Diff: 0.017969735182849944, p-value: nan
Successful CV: XGBoost-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.073139974779319, p-value: nan
Successful CV: XGBoost-HATCH, Avg Diff: 0.09252837326607821, p-value: nan
Successful CV: XGBoost-HATCH refitted odd ratios, Avg Diff: 0.02821563682219419, p-value: nan
Successful CV: CHA2DS2-VASc-Random Forest, Avg Diff: -0.03420554854981084, p-value: nan
Successful CV: CHA2DS2-VASc-Extremely Randomized Trees, Avg Diff: -0.039249684741488045, p-value: nan
Successful CV: CHA2DS2-VASc-Logistic Regression, Avg Diff: -0.09568095838587642, p-value: nan
Successful CV: CHA2DS2-VASc-XGBoost, Avg Diff: -0.017969735182849944, p-value: nan
Successful CV: CHA2DS2-VASc-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.05517023959646905, p-value: nan
Successful CV: CHA2DS2-VASc-HATCH, Avg Diff: 0.07455863808322827, p-value: nan
Successful CV: CHA2DS2-VASc-HATCH refitted odd ratios, Avg Diff: 0.010245901639344246, p-value: nan
Successful CV: CHA2DS2-VASc refitted odd ratios-Random Forest, Avg Diff: -0.08937578814627989, p-value: nan
Successful CV: CHA2DS2-VASc refitted odd ratios-Extremely Randomized Trees, Avg Diff: -0.0944199243379571, p-value: nan
Successful CV: CHA2DS2-VASc refitted odd ratios-Logistic Regression, Avg Diff: -0.15085119798234548, p-value: nan
Successful CV: CHA2DS2-VASc refitted odd ratios-XGBoost, Avg Diff: -0.073139974779319, p-value: nan
Successful CV: CHA2DS2-VASc refitted odd ratios-CHA2DS2-VASc, Avg Diff: -0.05517023959646905, p-value: nan
Successful CV: CHA2DS2-VASc refitted odd ratios-HATCH, Avg Diff: 0.019388398486759217, p-value: nan
Successful CV: CHA2DS2-VASc refitted odd ratios-HATCH refitted odd ratios, Avg Diff: -0.044924337957124805, p-value: nan
Successful CV: HATCH-Random Forest, Avg Diff: -0.1087641866330391, p-value: nan
Successful CV: HATCH-Extremely Randomized Trees, Avg Diff: -0.11380832282471631, p-value: nan
Successful CV: HATCH-Logistic Regression, Avg Diff: -0.1702395964691047, p-value: nan
Successful CV: HATCH-XGBoost, Avg Diff: -0.09252837326607821, p-value: nan
Successful CV: HATCH-CHA2DS2-VASc, Avg Diff: -0.07455863808322827, p-value: nan
Successful CV: HATCH-CHA2DS2-VASc refitted odd ratios, Avg Diff: -0.019388398486759217, p-value: nan
Successful CV: HATCH-HATCH refitted odd ratios, Avg Diff: -0.06431273644388402, p-value: nan
Successful CV: HATCH refitted odd ratios-Random Forest, Avg Diff: -0.044451450189155084, p-value: nan
Successful CV: HATCH refitted odd ratios-Extremely Randomized Trees, Avg Diff: -0.04949558638083229, p-value: nan
Successful CV: HATCH refitted odd ratios-Logistic Regression, Avg Diff: -0.10592686002522067, p-value: nan
Successful CV: HATCH refitted odd ratios-XGBoost, Avg Diff: -0.02821563682219419, p-value: nan
Successful CV: HATCH refitted odd ratios-CHA2DS2-VASc, Avg Diff: -0.010245901639344246, p-value: nan
Successful CV: HATCH refitted odd ratios-CHA2DS2-VASc refitted odd ratios, Avg Diff: 0.044924337957124805, p-value: nan
Successful CV: HATCH refitted odd ratios-HATCH, Avg Diff: 0.06431273644388402, p-value: nan
